,GameID,Win,공격형 탱커,수비형 탱커,돌격형 전사,기동형 전사,기동형 암살자,전투형 암살자,집중형 마법사,광역형 마법사,견제형 마법사,강화형 서폿,포획형 서폿,원거리 딜러
0,4035079604,True,0,0,2,0,0,0,1,0,0,1,0,1
1,4035079604,False,0,0,0,0,0,3,0,1,0,0,0,1
2,4035079613,False,0,0,1,0,1,0,0,2,0,0,0,1
3,4035079613,True,0,0,0,0,1,1,1,1,0,0,0,1
4,4035079665,False,0,1,0,0,1,0,1,0,0,0,1,1
5,4035079665,True,0,0,1,0,0,0,1,0,0,0,0,3
6,4035079666,False,0,0,1,1,0,0,1,0,0,0,1,1
7,4035079666,True,1,0,0,0,0,1,1,1,0,0,0,1
8,4035079668,True,0,0,1,0,0,0,0,1,0,1,0,2
9,4035079668,False,0,0,0,2,0,0,0,0,0,1,0,2
10,4035079686,True,0,0,0,0,0,1,1,1,0,1,0,1
11,4035079686,False,1,0,0,0,0,1,1,0,0,0,1,1
12,4035079692,False,0,0,2,0,0,1,0,0,0,1,0,1
13,4035079692,True,0,1,0,0,1,1,0,0,0,1,0,1
14,4035079696,True,1,1,0,0,2,0,0,0,0,0,0,1
15,4035079696,False,0,0,0,1,1,0,1,1,0,0,0,1
16,4035079700,True,0,1,1,0,0,0,1,1,0,0,0,1
17,4035079700,False,0,0,0,1,0,1,2,0,0,0,0,1
18,4035079718,False,1,0,1,0,0,0,1,0,0,1,0,1
19,4035079718,True,0,1,0,1,1,1,0,0,0,0,0,1
20,4035079733,True,0,0,1,0,0,2,0,0,0,1,0,1
21,4035079733,False,0,0,1,1,0,0,1,0,0,0,1,1
22,4035089527,True,1,1,0,1,0,0,0,0,0,0,0,2
23,4035089527,False,0,1,0,0,0,2,0,0,0,1,0,1
24,4035089567,False,1,0,1,0,0,0,1,0,0,0,1,1
25,4035089567,True,0,0,1,0,1,1,0,0,0,1,0,1
26,4035089568,False,0,1,0,0,1,0,1,0,0,0,1,1
27,4035089568,True,0,0,0,0,1,1,0,0,0,2,0,1
28,4035089573,False,0,0,0,1,0,0,1,1,0,1,0,1
29,4035089573,True,0,0,1,1,0,1,0,0,0,1,0,1
30,4035089579,True,1,0,1,0,0,1,1,0,0,0,0,1
31,4035089579,False,0,0,0,0,1,1,0,0,0,0,1,2
32,4035089582,False,0,0,1,0,0,1,1,0,0,0,1,1
33,4035089582,True,0,0,1,1,0,1,0,0,0,1,0,1
34,4035089606,True,0,0,1,0,2,0,0,0,0,1,0,1
35,4035089606,False,1,0,0,1,1,0,0,1,0,0,0,1
36,4035089614,False,0,0,1,0,1,0,1,0,0,0,1,1
37,4035089614,True,0,1,1,0,1,0,0,0,0,1,0,1
38,4035089624,True,0,0,0,0,1,1,1,0,0,0,0,2
39,4035089626,False,0,0,0,0,0,0,1,3,0,0,0,1
40,4035089626,True,1,1,0,1,0,0,1,0,0,0,0,1
41,4035089632,True,0,1,0,0,1,1,1,0,0,0,0,1
42,4035089632,False,0,0,0,1,1,1,0,0,0,0,0,2
43,4035089659,False,0,0,0,0,1,0,2,0,1,0,0,1
44,4035089659,True,1,0,2,0,0,1,0,0,0,0,0,1
45,4035089661,False,0,2,0,0,0,2,0,0,0,0,0,1
46,4035089661,True,2,0,0,0,0,0,0,0,0,0,1,2
47,4035089662,True,0,0,1,1,0,1,1,0,0,0,0,1
48,4035089662,False,2,0,0,0,1,0,0,0,0,1,0,1
49,4035089666,False,1,0,1,0,0,1,1,0,0,0,0,1
50,4035089666,True,0,0,0,1,0,0,1,1,0,1,0,1
51,4035089690,True,0,1,1,0,1,0,1,0,0,0,0,1
52,4035089690,False,0,0,1,0,1,0,0,0,0,1,0,2
53,4035089707,False,1,0,1,0,1,0,1,0,0,0,0,1
