,GameID,Win,블루공격형탱커,블루수비형탱커,블루돌격형전사,블루기동형전사,블루기동형암살자,블루전투형암살자,블루집중형마법사,블루광역형마법사,블루견제형마법사,블루강화형서폿,블루포획형서폿,블루원거리딜러,레드공격형탱커,레드수비형탱커,레드돌격형전사,레드기동형전사,레드기동형암살자,레드전투형암살자,레드집중형마법사,레드광역형마법사,레드견제형마법사,레드강화형서폿,레드포획형서폿,레드원거리딜러
0,4035079604,True,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,1
1,4035079613,False,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1
2,4035079665,False,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,3
3,4035079666,False,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1
4,4035079668,True,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,0,0,1,0,2
5,4035079686,True,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1
6,4035079692,False,0,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1
7,4035079696,True,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1
8,4035079700,True,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1
9,4035079718,False,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1
10,4035079733,True,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1
11,4035089527,True,1,1,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,1
12,4035089567,False,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,1
13,4035089568,False,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,0,1
14,4035089573,False,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
