,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
2,True,0.65,0.22,0.18,False,True,501.74,1100.8,1.05,5.0,4.6,0.29
7,False,0.33,0.07,0.22,False,False,547.47,1028.53,0.94,7.0,7.1,0.43
12,False,0.0,0.0,0.24,False,False,233.02,187.14,0.24,4.0,6.28,0.41
17,True,0.47,0.06,0.06,False,False,498.64,642.86,1.13,7.0,1.78,0.47
22,False,0.27,0.18,0.24,False,False,380.41,739.93,1.06,6.0,9.25,0.52
27,True,0.24,0.15,0.24,False,True,414.77,721.04,0.36,6.0,7.64,0.73
32,False,0.27,0.09,0.27,False,True,319.94,693.31,1.08,4.0,6.33,0.31
37,True,0.36,0.45,0.09,False,False,445.13,572.25,0.09,5.0,1.66,0.99
42,True,0.38,0.17,0.17,False,False,464.42,1061.81,1.81,5.0,6.32,0.29
47,False,0.21,0.29,0.42,False,False,385.98,543.83,0.72,6.0,10.4,0.63
52,True,0.42,0.06,0.06,True,False,493.25,575.52,0.24,6.0,1.61,0.6
57,False,0.06,0.0,0.3,False,False,278.27,518.09,0.66,5.0,7.7,0.3
62,False,0.08,0.08,0.39,False,False,294.18,349.82,0.51,5.0,9.12,0.2
67,True,0.51,0.28,0.08,True,False,559.84,867.66,0.59,6.0,2.91,0.51
72,True,0.37,0.11,0.0,False,False,470.05,582.65,0.16,8.0,0.0,0.69
77,False,0.0,0.05,0.16,False,False,213.77,179.39,0.05,3.0,3.42,0.05
82,True,0.2,0.4,0.11,False,False,402.06,426.06,1.09,4.0,4.62,0.95
87,False,0.14,0.09,0.2,False,False,328.33,469.35,0.49,5.0,7.17,0.32
92,False,0.03,0.27,0.17,False,False,287.47,475.33,1.17,6.0,5.61,0.4
97,True,0.43,0.13,0.1,False,False,512.0,941.91,0.23,7.0,4.45,0.84
102,True,0.13,0.15,0.17,False,False,384.45,404.43,0.55,5.0,5.6,0.49
107,False,0.32,0.32,0.08,False,False,437.92,1118.69,1.48,5.0,4.56,0.89
112,True,0.39,0.36,0.29,False,False,496.93,874.17,0.11,6.0,8.28,1.0
117,False,0.21,0.54,0.25,False,False,387.76,515.88,0.96,5.0,7.31,0.93
122,False,0.04,0.15,0.19,False,False,256.08,561.91,1.03,5.0,4.8,0.3
127,True,0.38,0.15,0.0,False,False,410.94,765.88,0.0,7.0,0.0,0.46
132,False,0.15,0.15,0.34,False,False,365.87,875.71,1.59,5.0,9.81,0.98
137,True,0.4,0.24,0.12,True,False,467.64,853.74,0.7,5.0,5.5,0.64
142,False,0.41,0.18,0.23,False,False,388.71,1143.99,1.88,3.0,9.38,0.38
147,True,0.47,0.12,0.15,False,False,514.63,1063.02,0.41,6.0,4.93,0.76
152,True,0.19,0.19,0.19,False,False,383.44,622.66,0.43,5.0,7.83,0.73
157,False,0.08,0.24,0.14,False,False,340.84,528.94,0.79,6.0,4.74,0.81
162,False,0.21,0.11,0.28,False,False,387.66,456.77,0.53,6.0,8.92,0.64
167,True,0.5,0.25,0.11,False,False,566.55,1032.14,1.0,7.0,1.74,0.53
172,True,0.14,0.18,0.04,True,False,405.75,474.09,0.58,8.0,1.16,0.72
177,False,0.07,0.07,0.14,False,False,384.75,464.26,0.36,8.0,2.28,0.58
182,False,0.13,0.2,0.46,False,False,376.61,514.59,0.65,5.0,9.12,0.46
187,True,0.91,0.13,0.2,True,False,560.85,1129.77,0.2,5.0,3.52,0.46
