,바텀조합,win
0,KogMaw & Nami,True
1,Caitlyn & Swain,False
2,Caitlyn & Swain,False
3,Sivir & Lux,True
4,Caitlyn & Blitzcrank,False
5,Jhin & Lux,True
6,Vayne & Thresh,False
7,Tristana & Brand,True
8,Ezreal & Janna,True
9,KogMaw & Sona,False
10,Sivir & Nami,True
11,Aphelios & Bard,False
12,Twitch & Yuumi,False
13,Vayne & Lulu,True
14,Draven & Nautilus,True
15,Lucian & Brand,False
16,Jhin & Brand,True
17,MissFortune & Lux,False
18,Caitlyn & Nami,False
19,Ezreal & Braum,True
20,Lucian & Nami,True
21,Vayne & Morgana,False
22,Kaisa & Maokai,True
23,Ezreal & Nami,False
24,Lucian & Morgana,False
25,MissFortune & Soraka,True
26,Caitlyn & Thresh,False
27,Vayne & Soraka,True
28,Jhin & Taric,False
29,Tristana & Soraka,True
30,Caitlyn & Lux,True
31,Tristana & Morgana,False
32,Twitch & Brand,False
33,Aphelios & Sona,True
34,Lucian & Nami,True
35,Ezreal & Nidalee,False
36,Ashe & Thresh,False
37,Lucian & Nami,True
38,Varus & Nautilus,False
39,Caitlyn & Lux,True
40,Caitlyn & Swain,False
41,Kaisa & Nautilus,True
42,Caitlyn & Lux,True
43,Ashe & Senna,False
44,Jinx & Samira,False
45,Varus & Teemo,False
46,Lucian & Nautilus,True
47,Caitlyn & Braum,False
48,Vayne & Pyke,True
49,Vayne & Brand,True
50,Ezreal & Nautilus,False
51,Jhin & Lux,False
52,Ashe & Soraka,True
53,Senna & Lux,True
54,Sivir & Nami,False
55,Kaisa & Lux,False
56,Tristana & Xerath,True
57,Jhin & Morgana,True
58,Ashe & Lux,False
59,Vayne & Nautilus,False
60,Jhin & Senna,True
61,Yasuo & Nami,False
62,Xayah & Soraka,True
63,Samira & Nami,True
64,Lucian & Rakan,False
65,Tristana & Leona,False
66,Ezreal & Trundle,True
67,Varus & Blitzcrank,True
68,Ezreal & Sett,False
69,Varus & Sona,True
70,Aphelios & Zyra,False
71,Jinx & Leona,False
72,Kaisa & Morgana,True
73,Aphelios & Morgana,False
74,Lucian & Yuumi,False
75,Xayah & Senna,True
76,Twitch & Lux,False
77,Samira & Leona,True
78,Ezreal & Rakan,False
79,Lucian & Brand,True
80,Samira & Taric,False
81,MissFortune & Lux,True
82,Ashe & Zyra,False
83,Samira & Morgana,False
84,Xayah & Taric,True
85,Ashe & Soraka,False
86,Jhin & Lux,True
87,Samira & Lulu,False
88,KogMaw & Janna,True
89,Samira & Rakan,True
90,Caitlyn & Pyke,False
91,Ezreal & Morgana,True
92,Tristana & Seraphine,False
93,Ashe & Nami,False
