,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
4,True,0.04,0.87,0.04,True,False,299.93,287.65,0.65,1.0,0.76,2.46
9,False,0.11,0.18,0.25,False,False,268.75,518.54,1.01,1.0,7.17,0.65
14,False,0.06,0.0,0.18,False,False,223.71,194.37,0.95,1.0,3.32,0.59
19,True,0.12,0.24,0.0,True,False,288.38,204.86,0.89,1.0,0.0,0.47
24,False,0.03,0.27,0.33,False,False,224.01,182.38,0.67,1.0,9.28,1.82
29,True,0.12,0.55,0.09,False,False,308.1,444.03,1.27,1.0,2.82,1.39
34,False,0.0,0.27,0.22,False,True,228.56,210.64,0.94,1.0,5.61,1.57
39,True,0.09,0.45,0.0,False,False,308.22,472.79,0.76,1.0,0.0,2.38
44,True,0.13,0.46,0.29,False,True,349.09,369.98,1.89,1.0,8.08,1.09
49,False,0.0,0.67,0.25,False,False,261.94,434.91,0.42,1.0,5.22,1.89
54,True,0.0,0.48,0.12,False,False,317.49,267.82,0.54,0.0,1.85,1.37
59,False,0.0,0.12,0.3,False,False,210.21,232.72,0.6,0.0,5.01,1.01
64,False,0.04,0.35,0.2,False,False,240.04,188.68,0.83,0.0,4.01,0.47
69,True,0.08,0.67,0.16,False,False,336.27,344.32,1.18,1.0,3.06,1.89
74,True,0.16,0.37,0.21,False,False,307.15,238.76,1.33,1.0,4.54,1.28
79,False,0.0,0.21,0.37,False,False,248.75,499.09,0.53,1.0,6.3,1.71
84,True,0.26,0.4,0.23,False,False,351.0,994.04,0.32,1.0,6.02,1.83
89,False,0.06,0.54,0.14,False,True,288.02,909.55,1.43,2.0,4.3,1.52
94,False,0.1,0.27,0.3,False,False,223.2,199.3,1.27,0.0,7.95,1.6
99,True,0.03,0.77,0.13,False,False,295.79,353.44,1.34,1.0,4.91,2.51
104,True,0.02,0.59,0.15,False,True,287.15,316.88,1.0,1.0,4.35,1.82
109,False,0.08,0.38,0.28,False,False,276.63,587.66,1.63,1.0,10.58,0.64
114,True,0.07,0.61,0.25,False,False,268.28,390.47,1.96,1.0,4.64,1.18
119,False,0.04,0.68,0.25,False,False,256.05,241.28,1.14,0.0,6.06,2.53
124,False,0.04,0.11,0.15,False,False,233.05,263.25,1.07,1.0,3.55,1.26
129,True,0.0,0.46,0.11,False,False,228.1,193.21,0.84,0.0,1.64,0.8
134,False,0.06,0.4,0.31,False,False,263.31,259.64,1.13,1.0,8.59,1.44
139,True,0.06,0.82,0.24,False,False,285.03,224.2,0.98,0.0,3.79,2.17
144,False,0.09,0.41,0.18,False,False,261.23,457.21,1.2,2.0,6.36,2.46
149,True,0.0,0.76,0.21,False,False,289.53,358.74,1.94,0.0,7.1,2.29
154,True,0.24,0.22,0.24,False,False,431.84,1120.92,2.47,3.0,7.18,1.57
159,False,0.11,0.57,0.16,False,False,290.08,494.39,1.44,1.0,5.12,1.52
164,False,0.14,0.21,0.11,True,False,303.55,822.32,0.64,2.0,1.53,1.88
169,True,0.04,0.78,0.14,False,False,291.36,280.2,0.53,0.0,2.1,1.85
174,True,0.07,0.51,0.0,False,False,289.81,226.31,0.61,0.0,0.0,2.75
179,False,0.04,0.11,0.22,False,False,229.27,409.04,0.04,1.0,3.0,1.08
184,False,0.2,0.52,0.33,False,False,294.2,384.04,2.02,1.0,4.76,1.04
189,True,0.2,0.85,0.26,False,False,377.26,374.33,1.63,1.0,3.06,0.91
193,False,0.0,0.0,0.0,False,False,228.7,96.75,0.59,1.0,0.0,0.0
198,True,0.0,0.0,0.0,False,False,233.73,72.19,0.59,0.0,0.0,0.3
203,False,0.18,0.33,0.15,False,False,301.7,845.65,1.76,1.0,5.92,1.73
205,True,0.06,0.3,0.12,False,False,252.08,260.57,1.4,1.0,3.84,1.96
213,True,0.09,0.46,0.19,False,False,297.96,329.28,1.2,1.0,3.33,1.67
218,False,0.0,0.37,0.23,False,False,256.01,227.06,1.06,1.0,5.09,1.02
222,False,0.0,0.24,0.24,False,False,286.16,261.16,0.06,5.0,6.08,0.4
223,False,0.21,0.24,0.27,False,False,327.31,1000.82,1.76,2.0,9.34,1.82
228,True,0.09,0.64,0.12,False,True,325.52,230.66,1.49,2.0,2.59,2.19
233,False,0.15,0.2,0.2,False,True,291.44,210.12,0.83,2.0,2.84,1.42
238,True,0.29,0.29,0.1,False,False,378.68,307.04,0.83,2.0,2.25,0.88
243,True,0.14,0.48,0.19,False,False,331.58,653.92,0.77,1.0,3.3,1.63
248,False,0.05,0.38,0.24,False,True,248.71,248.23,1.44,1.0,3.68,0.72
253,False,0.16,0.24,0.32,False,False,282.18,522.85,1.59,1.0,7.97,1.16
258,True,0.0,0.48,0.28,False,False,279.86,218.54,1.36,1.0,7.74,1.08
263,True,0.0,0.54,0.07,False,False,302.72,183.56,0.75,1.0,1.09,0.54
268,False,0.0,0.07,0.2,False,False,173.23,58.22,0.34,0.0,2.58,0.07
273,False,0.0,0.0,0.19,False,False,214.11,177.24,1.07,1.0,2.53,0.39
278,True,0.0,0.39,0.1,False,False,303.5,323.05,1.07,1.0,1.36,0.29
283,True,0.08,0.3,0.23,False,False,268.28,333.01,1.31,1.0,6.16,2.24
288,False,0.28,0.28,0.28,True,False,350.97,875.97,1.56,1.0,9.61,1.99
293,False,0.08,0.2,0.2,False,True,242.84,198.86,1.38,1.0,3.81,0.93
298,True,0.04,0.45,0.04,False,False,295.25,285.72,1.01,2.0,0.24,1.14
303,False,0.08,0.35,0.19,False,False,238.52,399.73,1.36,0.0,3.84,1.59
308,True,0.08,0.66,0.08,False,False,308.73,423.35,2.13,1.0,1.63,2.13
313,True,0.0,0.88,0.25,False,False,298.43,284.91,0.98,0.0,4.67,2.16
318,False,0.05,0.29,0.39,False,True,251.15,181.57,0.74,1.0,7.42,1.52
323,False,0.0,0.4,0.25,False,False,267.75,239.96,1.29,2.0,5.04,1.73
328,True,0.05,0.94,0.1,False,False,332.94,402.92,0.69,2.0,2.13,1.83
333,True,0.04,0.64,0.15,False,False,272.95,275.43,1.32,1.0,3.39,1.84
338,False,0.08,0.11,0.3,False,False,222.99,313.02,0.79,1.0,7.94,1.32
343,True,0.06,0.58,0.03,False,False,294.57,313.55,0.65,0.0,1.2,2.01
348,False,0.03,0.16,0.06,False,False,235.55,507.9,0.75,1.0,2.11,1.56
353,False,0.04,0.13,0.22,False,False,218.82,84.02,0.98,1.0,4.13,0.93
358,True,0.49,0.49,0.13,False,False,413.14,633.6,2.0,1.0,3.37,1.2
363,False,0.06,0.25,0.25,False,False,266.44,220.72,1.61,1.0,1.86,0.87
373,False,0.04,0.64,0.07,False,False,252.43,285.05,0.74,0.0,2.52,0.81
378,True,0.14,0.5,0.18,False,False,391.0,666.7,1.03,2.0,5.53,1.98
383,False,0.23,0.47,0.18,False,False,334.63,841.02,2.49,2.0,4.89,1.46
393,True,0.26,0.26,0.0,False,True,328.39,262.09,1.81,2.0,0.0,0.91
398,False,0.0,0.13,0.26,False,False,204.08,150.62,1.23,1.0,3.37,0.97
403,True,0.12,0.45,0.21,False,False,320.55,610.61,0.74,1.0,4.13,2.39
408,False,0.0,0.5,0.21,False,False,245.81,112.96,0.5,2.0,4.13,1.61
413,True,0.11,0.46,0.23,True,False,304.88,627.22,1.32,1.0,7.72,1.67
418,False,0.14,0.32,0.32,False,False,294.43,854.29,1.26,1.0,11.14,1.23
423,False,0.13,0.33,0.33,False,False,303.56,723.52,2.47,1.0,7.32,2.34
428,True,0.1,0.86,0.16,False,False,327.41,274.01,0.92,1.0,4.49,1.72
433,False,0.03,0.77,0.19,False,False,262.63,174.9,0.71,1.0,4.9,0.83
438,True,0.1,0.35,0.42,False,True,258.37,365.83,1.63,1.0,10.64,0.67
443,False,0.04,0.18,0.21,False,True,218.85,162.51,0.78,0.0,5.28,1.7
448,True,0.07,0.67,0.18,False,False,292.56,162.12,0.71,0.0,3.19,1.52
453,True,0.1,0.6,0.17,False,True,273.71,176.36,0.9,1.0,3.72,1.59
458,False,0.37,0.2,0.27,False,False,436.42,373.31,1.36,1.0,7.14,2.59
463,True,0.18,0.46,0.11,False,True,434.39,555.3,2.19,3.0,2.61,1.87
468,False,0.07,0.28,0.25,False,False,287.15,482.31,0.71,3.0,6.11,1.06
473,False,0.0,0.2,0.12,False,False,206.32,220.45,1.09,1.0,2.55,1.82
478,True,0.04,0.65,0.08,False,False,299.68,299.55,1.62,1.0,2.35,1.82
483,False,0.0,0.31,0.06,False,False,210.42,216.17,0.56,0.0,1.5,0.94
488,True,0.03,0.59,0.09,False,True,340.01,547.86,1.38,2.0,2.72,2.1
493,False,0.28,0.46,0.37,False,True,417.62,465.22,0.89,1.0,10.31,2.03
498,True,0.15,0.77,0.25,False,False,373.85,321.95,0.89,1.0,7.09,1.84
503,True,0.16,0.37,0.12,False,False,346.15,582.84,0.45,2.0,3.47,0.98
508,False,0.16,0.08,0.41,False,False,271.14,257.85,1.06,1.0,9.42,0.73
513,True,0.2,0.39,0.17,False,False,360.78,795.72,0.53,2.0,5.35,2.02
518,False,0.06,0.53,0.17,False,False,263.33,323.15,0.59,1.0,4.4,1.37
523,True,0.11,0.43,0.25,False,True,314.22,203.61,0.9,0.0,3.94,2.35
528,False,0.14,0.36,0.14,False,False,324.26,667.47,1.88,1.0,2.2,1.84
533,False,0.11,0.3,0.26,False,False,273.49,467.73,1.45,1.0,5.87,2.64
538,True,0.07,0.86,0.22,False,False,314.76,337.99,1.82,1.0,5.43,1.86
543,True,0.03,0.49,0.06,False,False,284.47,268.09,0.91,1.0,2.39,1.84
548,False,0.13,0.23,0.13,False,False,304.47,170.58,0.52,1.0,4.92,2.49
553,True,0.11,0.52,0.11,False,True,302.97,575.32,1.15,1.0,3.08,2.11
558,False,0.07,0.37,0.33,False,False,283.28,650.89,0.74,1.0,6.0,1.78
563,False,0.05,0.31,0.19,False,False,267.81,693.6,1.84,2.0,6.16,1.2
568,True,0.12,0.31,0.19,False,False,342.15,627.12,1.32,2.0,6.99,1.39
573,False,0.07,0.41,0.22,False,False,275.13,792.3,2.23,1.0,5.32,1.67
578,True,0.11,0.93,0.11,False,False,316.36,326.54,0.41,0.0,2.97,1.26
583,False,0.08,0.27,0.19,False,True,300.14,665.09,0.22,2.0,7.12,1.65
588,True,0.24,0.43,0.27,False,False,391.58,711.8,1.43,2.0,7.79,1.54
593,False,0.03,0.42,0.38,False,False,248.26,370.63,1.05,1.0,9.06,1.6
598,True,0.17,0.38,0.17,False,True,384.18,400.73,0.84,1.0,3.97,0.8
603,True,0.04,0.74,0.15,False,False,300.74,242.37,1.15,1.0,3.33,2.7
608,False,0.0,0.41,0.26,False,False,226.77,190.02,1.18,1.0,6.21,1.96
613,True,0.08,0.15,0.23,False,False,239.42,377.61,1.19,3.0,4.87,1.11
618,False,0.15,0.23,0.04,False,False,264.57,407.55,1.57,1.0,1.3,1.3
623,True,0.15,0.36,0.07,False,False,333.3,255.23,0.36,2.0,2.7,2.33
628,False,0.0,0.18,0.33,False,False,220.29,264.01,1.64,1.0,6.92,2.11
633,True,0.07,0.17,0.33,False,False,254.52,333.11,1.39,1.0,7.87,0.83
638,False,0.17,0.36,0.26,False,False,310.75,548.06,1.49,1.0,9.2,0.63
643,False,0.0,0.27,0.27,False,False,210.64,258.05,1.54,1.0,5.49,1.38
648,True,0.0,0.23,0.23,False,True,251.94,250.06,0.19,1.0,4.99,1.19
653,True,0.05,0.48,0.28,False,False,254.94,385.95,2.28,1.0,7.87,1.72
658,False,0.1,0.35,0.15,False,False,319.22,713.82,1.8,3.0,7.04,1.59
663,False,0.27,0.47,0.27,False,False,443.1,499.09,1.35,1.0,7.07,2.03
668,True,0.0,0.78,0.17,False,False,299.93,323.43,1.22,1.0,5.0,1.52
673,True,0.04,0.58,0.18,False,False,284.97,232.33,1.16,1.0,4.62,1.97
678,False,0.15,0.33,0.33,False,False,289.73,769.13,0.4,1.0,9.54,1.78
683,True,0.06,0.35,0.22,False,False,255.12,114.67,0.8,0.0,5.2,0.96
688,False,0.1,0.38,0.13,False,False,244.59,164.53,1.02,0.0,4.37,1.66
693,True,0.27,0.31,0.13,False,False,387.47,332.64,0.72,1.0,3.41,1.48
698,False,0.0,0.31,0.27,False,False,237.09,275.66,1.71,1.0,5.57,1.08
703,True,0.49,0.39,0.2,False,True,459.39,436.01,1.47,1.0,1.96,0.78
713,True,0.11,0.54,0.2,False,True,304.04,403.76,2.35,2.0,7.4,1.58
