,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
3,True,0.18,0.25,0.22,False,False,336.42,382.98,0.18,4.0,4.27,0.11
8,False,0.14,0.18,0.33,False,False,338.52,489.97,0.65,4.0,7.46,0.33
13,False,0.0,0.06,0.18,False,False,241.91,111.97,0.06,5.0,3.32,0.3
18,True,0.0,0.53,0.06,False,True,370.36,298.1,0.0,7.0,0.47,0.53
23,False,0.15,0.18,0.18,False,False,335.87,424.29,0.36,6.0,5.12,0.79
28,True,0.36,0.24,0.09,False,False,499.61,743.45,0.67,7.0,3.31,0.3
33,False,0.18,0.04,0.18,True,False,387.16,372.88,0.31,7.0,5.03,0.31
38,True,0.27,0.31,0.18,False,False,518.95,591.83,0.09,7.0,3.19,0.63
43,True,0.42,0.42,0.17,True,False,516.51,1348.25,0.42,6.0,4.55,0.67
48,False,0.38,0.17,0.25,False,False,346.4,780.93,0.25,3.0,6.65,0.55
53,True,0.6,0.0,0.06,False,False,510.57,748.66,0.06,8.0,1.61,0.6
58,False,0.12,0.12,0.24,False,False,317.25,292.06,0.36,6.0,5.25,0.48
63,False,0.39,0.04,0.28,False,False,472.26,1500.71,0.63,6.0,5.58,0.47
68,True,0.31,0.28,0.16,False,False,430.18,738.98,0.35,6.0,4.2,0.39
73,True,0.48,0.27,0.11,True,False,595.19,754.62,0.21,8.0,1.6,0.59
78,False,0.11,0.05,0.27,False,False,325.2,349.01,0.0,7.0,3.47,0.21
83,True,0.17,0.37,0.23,False,False,351.78,501.35,0.52,4.0,5.96,0.54
88,False,0.4,0.14,0.17,True,False,405.79,605.79,0.17,5.0,7.17,0.54
93,False,0.07,0.13,0.27,False,False,326.77,539.1,0.5,7.0,8.32,0.43
98,True,0.3,0.37,0.1,False,False,485.26,1323.73,0.13,8.0,4.61,0.84
103,True,0.36,0.13,0.25,True,False,476.16,994.93,0.13,6.0,7.85,0.81
108,False,0.21,0.25,0.19,False,False,370.2,658.37,0.32,3.0,5.56,0.83
113,True,0.32,0.46,0.29,False,False,439.71,716.16,0.04,6.0,7.06,0.68
118,False,0.36,0.21,0.25,False,False,407.42,771.85,0.0,6.0,5.64,0.68
123,False,0.04,0.08,0.08,False,False,271.56,329.17,0.0,5.0,2.71,0.76
128,True,0.19,0.19,0.08,False,False,396.0,526.69,0.11,8.0,2.71,0.76
133,False,0.37,0.18,0.24,False,False,496.73,1065.32,0.95,7.0,7.79,0.82
138,True,0.46,0.27,0.24,False,False,481.67,872.75,0.55,5.0,6.23,0.64
143,False,0.06,0.29,0.18,False,False,331.61,630.88,0.7,6.0,4.63,0.62
148,True,0.15,0.26,0.18,False,False,409.12,743.08,0.15,6.0,6.6,0.47
153,True,0.14,0.08,0.19,False,False,300.87,402.57,0.57,3.0,5.39,0.3
158,False,0.19,0.38,0.14,False,False,382.33,498.78,0.11,5.0,3.31,0.7
163,False,0.14,0.18,0.28,False,True,315.85,376.61,0.28,5.0,6.75,0.53
168,True,0.21,0.28,0.18,False,False,404.3,587.24,0.78,6.0,3.63,0.43
173,True,0.29,0.18,0.07,False,False,433.21,606.76,0.04,7.0,2.53,0.76
178,False,0.07,0.0,0.18,False,False,345.28,510.59,0.0,6.0,3.94,0.72
183,False,0.13,0.46,0.52,False,False,311.21,481.11,1.56,4.0,7.56,0.52
188,True,0.13,0.46,0.26,False,False,405.02,427.04,0.0,5.0,3.19,0.46
192,False,0.0,0.0,0.0,False,False,296.75,74.85,0.0,4.0,0.0,0.3
197,True,0.0,0.0,0.0,False,False,242.9,81.66,0.3,1.0,0.0,0.0
202,False,0.15,0.33,0.3,False,False,388.3,668.9,0.45,6.0,10.24,0.36
207,True,0.21,0.12,0.12,False,False,361.4,528.75,0.0,5.0,4.76,0.48
212,True,0.28,0.23,0.05,False,False,422.06,492.32,0.23,6.0,1.53,0.6
217,False,0.14,0.09,0.32,False,False,316.42,400.65,1.11,6.0,6.57,0.32
227,True,0.3,0.21,0.3,True,False,473.45,679.29,0.88,7.0,9.79,0.52
232,False,0.24,0.15,0.29,True,False,412.22,497.26,1.17,5.0,7.63,0.34
237,True,0.29,0.54,0.15,False,False,474.13,637.46,0.05,6.0,2.69,0.59
242,True,0.1,0.14,0.14,False,False,369.95,353.01,0.86,6.0,2.73,0.57
247,False,0.19,0.19,0.19,True,False,367.66,290.72,0.14,6.0,3.73,0.72
252,False,0.0,0.08,0.16,False,False,259.81,182.85,0.08,6.0,3.99,0.36
257,True,0.16,0.32,0.08,False,False,392.46,433.37,0.0,6.0,2.07,0.52
262,True,0.27,0.34,0.07,False,False,405.77,351.02,0.54,6.0,0.95,0.27
267,False,0.0,0.07,0.27,False,False,253.74,270.38,0.95,5.0,4.14,0.41
272,False,0.0,0.0,0.29,False,False,220.62,188.81,0.97,3.0,3.7,0.29
277,True,0.29,0.1,0.1,False,False,332.39,332.59,0.0,4.0,1.36,0.39
282,True,0.25,0.25,0.28,False,False,420.68,479.55,0.0,5.0,8.18,0.68
287,False,0.28,0.15,0.28,False,True,425.23,584.73,0.15,5.0,10.24,0.96
292,False,0.08,0.12,0.08,False,True,317.53,271.52,0.49,6.0,2.72,0.37
297,True,0.24,0.24,0.2,False,False,354.36,649.53,1.42,6.0,4.71,0.57
302,False,0.08,0.19,0.27,False,False,296.51,390.03,0.31,4.0,5.47,0.19
307,True,0.27,0.43,0.16,False,False,377.31,479.21,0.5,4.0,4.23,0.23
312,True,0.25,0.25,0.15,False,False,418.18,382.26,0.59,6.0,4.72,0.93
317,False,0.15,0.15,0.25,True,False,342.6,545.36,0.88,6.0,6.24,0.93
322,False,0.05,0.05,0.35,False,False,325.37,289.71,0.05,6.0,6.68,0.35
327,True,0.59,0.1,0.15,False,False,525.62,842.98,0.0,7.0,4.06,0.45
332,True,0.38,0.38,0.23,False,False,445.64,709.56,0.11,5.0,4.74,0.6
337,False,0.23,0.19,0.19,False,False,403.31,826.6,0.08,6.0,4.44,0.79
342,True,0.26,0.16,0.1,False,False,373.48,855.77,1.14,5.0,3.41,0.45
347,False,0.06,0.1,0.29,False,False,338.12,614.66,0.0,6.0,8.9,0.13
