,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
1,True,0.14,0.69,0.14,False,True,382.95,570.17,0.8,1.0,2.97,0.76
6,False,0.18,0.18,0.33,False,False,331.9,510.93,0.47,1.0,10.07,0.62
11,False,0.0,0.06,0.18,False,False,313.81,114.64,0.41,1.0,5.33,1.07
16,True,0.12,0.0,0.0,False,False,383.05,164.43,2.73,1.0,0.0,0.89
21,False,0.27,0.18,0.36,False,False,418.68,696.91,0.24,1.0,11.19,0.42
26,True,0.18,0.36,0.27,True,False,352.94,557.31,0.18,0.0,8.88,1.12
31,False,0.04,0.13,0.27,False,True,231.79,268.16,0.72,0.0,7.09,0.9
36,True,0.31,0.4,0.13,False,False,422.77,592.23,0.72,1.0,2.2,0.4
41,True,0.21,0.25,0.13,False,True,428.34,263.75,0.51,1.0,2.19,0.84
46,False,0.29,0.34,0.38,False,False,362.74,303.03,1.14,1.0,8.84,0.84
51,True,0.12,0.12,0.12,False,False,310.63,212.66,0.84,1.0,2.87,0.66
56,False,0.18,0.06,0.24,False,False,384.54,430.15,0.3,0.0,4.54,0.6
61,False,0.08,0.04,0.43,False,False,283.38,309.67,0.43,1.0,10.88,0.47
66,True,0.31,0.24,0.16,False,False,402.95,745.34,0.28,1.0,5.15,0.59
71,True,0.05,0.27,0.11,False,False,358.94,269.25,0.37,0.0,2.35,0.8
76,False,0.32,0.11,0.21,False,False,451.9,496.53,0.27,2.0,5.39,0.75
81,True,0.09,0.49,0.14,False,False,333.06,288.33,0.72,1.0,5.45,0.54
86,False,0.09,0.14,0.26,False,False,294.09,349.86,0.66,1.0,9.06,0.49
91,False,0.13,0.37,0.33,False,False,330.01,793.98,2.21,1.0,8.69,1.27
96,True,0.23,0.33,0.2,True,False,398.56,523.33,0.4,1.0,5.35,0.9
101,True,0.23,0.23,0.25,False,False,403.08,754.04,0.72,3.0,10.05,0.53
106,False,0.28,0.28,0.19,False,False,408.82,817.18,0.95,1.0,7.78,0.85
111,True,0.46,0.43,0.18,True,False,556.44,833.93,0.64,1.0,4.89,0.89
116,False,0.46,0.43,0.29,False,False,515.63,1005.32,0.68,2.0,8.42,0.96
121,False,0.15,0.08,0.23,False,False,279.34,296.0,0.91,0.0,6.25,0.8
126,True,0.15,0.19,0.04,False,False,380.56,194.05,0.11,1.0,1.22,0.76
131,False,0.12,0.12,0.21,False,False,334.37,461.04,5.04,1.0,6.97,0.73
136,True,0.24,0.55,0.21,False,True,389.21,715.64,1.07,2.0,5.07,0.79
141,False,0.18,0.56,0.29,False,False,379.21,751.35,1.11,1.0,9.68,0.97
146,True,0.29,0.32,0.26,False,True,405.54,719.18,1.06,1.0,7.65,0.82
151,True,0.08,0.24,0.27,False,False,304.82,337.59,1.11,1.0,8.35,0.89
156,False,0.68,0.08,0.22,True,False,519.78,1105.96,0.65,2.0,8.78,0.92
161,False,0.04,0.28,0.25,False,True,274.3,286.78,1.46,1.0,8.57,0.78
166,True,0.25,0.36,0.18,False,False,389.37,535.66,0.21,1.0,5.08,1.0
171,True,0.25,0.14,0.07,False,True,453.52,352.73,3.07,1.0,2.17,0.76
176,False,0.0,0.0,0.22,False,False,257.25,185.04,0.36,0.0,4.3,0.54
181,False,0.33,0.13,0.33,False,False,380.98,595.18,0.98,0.0,5.6,0.33
186,True,0.46,0.52,0.07,False,False,456.48,455.7,0.98,1.0,1.95,1.04
195,True,0.0,0.0,0.0,False,False,290.24,0.0,0.0,0.0,0.0,0.3
