,win,분당 킬,분당 어시,분당 데스,퍼블유무,퍼블어시유무,분당 얻은 골드,분당 피해량,분당 cc건시간,분당 CS,분당 죽은시간,분당 시야점수
0,True,0.54,0.11,0.22,False,False,509.12,862.2,0.98,5.0,5.65,0.36
5,False,0.04,0.04,0.43,False,False,331.5,374.4,0.47,5.0,11.91,0.14
10,False,0.12,0.0,0.06,False,False,322.88,250.92,0.3,6.0,2.07,0.24
15,True,0.12,0.0,0.06,False,False,355.36,506.94,1.13,8.0,2.07,0.36
20,False,0.09,0.06,0.15,False,False,278.11,327.05,0.61,5.0,4.7,0.49
25,True,0.36,0.21,0.12,False,False,445.54,805.15,0.85,6.0,4.67,0.76
30,False,0.04,0.04,0.22,False,True,262.01,284.28,0.58,5.0,7.27,0.22
35,True,0.13,0.45,0.13,False,False,345.94,774.05,1.3,6.0,3.59,0.49
40,True,0.25,0.13,0.17,False,False,454.53,678.61,0.25,6.0,6.48,0.42
45,False,0.04,0.17,0.08,False,False,309.68,258.82,0.21,6.0,2.53,0.59
50,True,0.0,0.12,0.06,False,False,292.3,333.13,1.01,6.0,1.91,0.12
55,False,0.06,0.0,0.06,False,False,335.76,349.49,0.66,8.0,0.0,0.24
60,False,0.0,0.04,0.28,False,False,281.81,207.74,0.75,7.0,8.29,0.35
65,True,0.35,0.35,0.04,False,False,456.46,720.08,2.2,5.0,0.83,0.51
70,True,0.48,0.16,0.21,False,False,473.52,785.32,1.17,7.0,5.07,0.59
75,False,0.21,0.16,0.53,False,False,379.5,594.34,0.91,5.0,11.8,0.53
80,True,0.4,0.34,0.03,False,False,465.65,979.73,0.43,5.0,1.38,0.54
85,False,0.06,0.03,0.34,False,False,254.99,436.3,0.72,4.0,12.59,0.17
90,False,0.5,0.13,0.27,False,False,531.18,1376.07,0.13,6.0,7.69,0.64
95,True,0.33,0.3,0.3,False,False,470.52,940.71,0.5,5.0,9.19,0.5
100,True,0.17,0.19,0.17,False,False,376.71,698.49,0.15,5.0,6.89,0.38
105,False,0.11,0.36,0.17,False,False,371.96,953.62,0.49,5.0,7.08,1.0
110,True,0.14,0.5,0.21,False,True,340.88,517.55,1.43,4.0,5.49,0.61
115,False,0.14,0.18,0.36,False,False,369.32,833.86,0.21,6.0,12.17,0.54
120,False,0.08,0.11,0.19,False,False,389.29,931.91,0.65,7.0,4.88,0.38
125,True,0.11,0.3,0.11,True,False,362.71,871.86,0.69,6.0,3.62,0.57
130,False,0.15,0.03,0.18,False,False,408.13,569.63,2.14,5.0,6.45,0.52
135,True,0.12,0.7,0.03,False,False,406.08,850.9,1.01,5.0,1.19,0.52
140,False,0.26,0.23,0.18,False,False,400.29,1120.85,0.7,6.0,5.16,0.53
145,True,0.15,0.15,0.21,True,False,374.6,505.69,0.62,5.0,6.92,0.56
150,True,0.11,0.19,0.22,False,False,420.33,723.41,0.16,7.0,9.21,0.57
155,False,0.05,0.3,0.14,False,False,347.43,331.84,0.11,5.0,5.8,0.54
160,False,0.25,0.11,0.21,False,False,480.7,998.51,0.57,7.0,6.79,0.5
165,True,0.14,0.28,0.18,False,False,471.28,732.74,0.43,7.0,5.19,0.46
170,True,0.11,0.29,0.04,False,True,431.41,596.89,0.54,8.0,1.48,0.33
175,False,0.04,0.07,0.11,False,False,279.11,393.1,1.48,6.0,2.86,0.43
180,False,0.07,0.0,0.26,False,False,294.85,398.89,0.26,6.0,6.51,0.26
185,True,0.2,0.13,0.07,False,False,450.62,329.58,0.46,8.0,0.78,0.52
190,False,0.0,0.0,0.0,False,False,267.75,154.14,0.59,3.0,0.0,0.0
194,True,0.0,0.0,0.0,False,False,292.6,196.45,0.0,4.0,0.0,0.0
199,False,0.18,0.12,0.3,False,False,353.48,743.27,0.36,6.0,10.48,0.74
204,True,0.21,0.24,0.03,False,False,456.13,549.05,0.86,7.0,1.43,0.8
209,True,0.32,0.14,0.19,False,True,508.83,771.65,0.14,7.0,6.34,0.28
214,False,0.0,0.05,0.09,False,False,164.29,90.61,0.19,1.0,1.11,0.14
219,False,0.33,0.09,0.21,False,False,406.23,1054.29,0.4,6.0,8.18,0.67
224,True,0.09,0.27,0.15,False,False,377.04,382.0,0.15,6.0,4.62,0.18
229,False,0.15,0.15,0.24,False,False,330.32,376.09,0.93,4.0,6.99,0.54
234,True,0.05,0.2,0.05,False,False,308.41,356.19,1.37,5.0,1.86,0.39
239,True,0.24,0.19,0.1,False,False,439.57,560.72,0.1,7.0,2.73,0.86
244,False,0.05,0.05,0.24,False,False,261.63,383.73,0.77,5.0,6.12,0.43
249,False,0.16,0.28,0.36,False,False,331.06,613.12,1.12,3.0,10.25,0.4
254,True,0.16,0.44,0.12,False,False,407.85,630.5,0.16,5.0,3.51,0.44
259,True,0.0,0.07,0.2,False,False,304.96,212.98,0.68,5.0,3.4,0.07
264,False,0.34,0.0,0.27,True,False,354.21,567.93,0.75,5.0,5.16,0.61
274,True,0.1,0.0,0.0,False,False,349.9,180.64,0.68,6.0,0.0,0.39
279,True,0.15,0.25,0.18,False,False,348.33,459.87,0.35,4.0,7.17,0.63
284,False,0.05,0.13,0.18,False,False,268.75,280.23,0.81,4.0,5.96,0.6
289,False,0.04,0.04,0.24,False,False,279.39,383.53,0.65,5.0,6.61,0.32
294,True,0.28,0.28,0.04,False,False,403.37,378.82,0.93,6.0,1.83,0.45
299,False,0.35,0.16,0.35,False,False,381.11,998.02,0.08,3.0,9.04,0.5
304,True,0.27,0.23,0.39,True,False,446.94,738.21,0.58,5.0,9.15,0.31
309,True,0.25,0.2,0.2,False,False,421.28,438.53,0.2,7.0,5.11,0.34
314,False,0.05,0.2,0.25,False,False,301.77,322.75,0.79,6.0,5.6,0.74
319,False,0.1,0.15,0.3,False,True,346.29,490.95,2.32,6.0,7.57,0.45
324,True,0.05,0.4,0.1,False,False,323.84,656.28,1.24,7.0,1.98,0.84
329,True,0.23,0.26,0.15,True,False,387.21,612.08,1.02,5.0,3.5,0.53
334,False,0.19,0.04,0.26,False,False,334.76,684.42,0.9,5.0,7.3,0.83
339,True,0.42,0.16,0.06,False,False,553.69,947.12,0.78,7.0,1.46,1.14
344,False,0.19,0.1,0.23,False,False,351.09,345.66,0.71,5.0,6.3,0.32
349,False,0.13,0.04,0.22,False,False,299.51,433.33,0.09,5.0,5.06,0.58
354,True,0.04,0.22,0.09,False,True,326.72,409.05,0.49,6.0,2.44,0.27
359,False,0.06,0.25,0.37,False,False,285.48,271.77,0.37,5.0,8.75,0.37
364,True,0.12,0.06,0.12,False,False,430.77,331.02,0.68,6.0,1.99,0.37
369,False,0.18,0.43,0.21,False,False,366.74,871.77,0.6,6.0,6.16,0.53
374,True,0.11,0.35,0.11,False,False,360.64,422.17,0.74,5.0,4.0,0.53
379,False,0.15,0.41,0.23,False,False,383.71,645.59,0.18,5.0,7.88,0.5
384,True,0.38,0.26,0.23,False,False,426.46,835.63,1.49,4.0,8.94,0.56
391,True,0.26,0.0,0.06,False,False,416.33,312.38,0.13,9.0,2.07,0.58
394,False,0.06,0.0,0.19,False,False,337.39,230.14,0.32,8.0,4.93,0.84
399,True,0.25,0.17,0.25,True,False,509.33,893.19,0.08,8.0,6.03,0.37
404,False,0.08,0.21,0.25,False,False,321.17,535.45,1.86,6.0,6.6,0.45
409,True,0.26,0.17,0.23,False,False,391.07,837.32,0.43,4.0,6.52,0.72
414,False,0.34,0.2,0.2,False,False,458.05,767.04,0.69,6.0,6.86,0.6
